performance,alpha,gamma,epsilon_decay
26.02,0.0553180022988931,0.9525461007495322,0.9990418129276806
12.526666666666667,0.017330204985331492,0.8834053035198356,0.999192654014516
5.1800000000000015,0.10111387636994199,0.9350258807348992,0.9991524931488514
-2.546666666666668,0.07689934622506937,0.9598864495511538,0.9992244559377937
-4.173333333333334,0.017786284935792103,0.9783226091540773,0.9992086469564315
-7.473333333333333,0.019093598886408315,0.8920552080805455,0.9992482951576022
-7.993333333333334,0.032762430402903414,0.982531677268233,0.9991483414405881
-16.273333333333333,0.1949836068534476,0.9820152125216924,0.9993206049061564
-19.033333333333335,0.09553148082111719,0.8603183696576826,0.9992753101505089
-21.700000000000003,0.014952324061840766,0.8935769528869647,0.9990055151213847
-23.05333333333333,0.017596766935235618,0.8841074895623124,0.9992550377653456
-27.71333333333333,0.018516904508224376,0.9289213138635746,0.9992572542103165
-29.46,0.014645346278177906,0.9643251769745688,0.9992678942360699
-30.78666666666667,0.04398853801230865,0.9613102456817727,0.9992941183350187
-30.926666666666666,0.02407998453789686,0.9465548456046629,0.9990467804633648
-34.559999999999995,0.04247250505859518,0.9138505478504182,0.9992266010496675
-39.46666666666667,0.055742267853554156,0.9157867921066806,0.9992838394715814
-40.4,0.020912605132382803,0.891130706553789,0.9993197340164283
-40.78666666666666,0.0326408475669082,0.9387369565333499,0.9990829995438344
-43.96000000000001,0.011203232248555234,0.8735296105410083,0.9992312813536595
-45.91333333333334,0.033736363456632515,0.8681631439843686,0.9993594632879664
-47.27333333333332,0.014722289968278339,0.9750133730054943,0.9995197726362257
-47.47333333333333,0.11410343253427677,0.9322644765925615,0.999424093153583
-54.74666666666666,0.16678857284021398,0.9555177965463355,0.9994933790491302
-56.67333333333334,0.03736898088969746,0.9781105539680209,0.9992984695956852
-58.43333333333333,0.03691982885429806,0.9817544796752649,0.9994407749051681
-61.3,0.018795596234168526,0.9018373802367526,0.999362866915814
-63.35999999999999,0.018810547834469924,0.894848530059754,0.999458883911932
-69.76,0.0375993357217617,0.9039963697847383,0.99926714209752
-75.38,0.1004306381614547,0.8661916461984034,0.9995776028974693
-76.50666666666666,0.06910236516915799,0.8781273372012575,0.9994829245319092
-84.80666666666666,0.011035135555300475,0.8728227970591376,0.9995972313628041
-86.40666666666668,0.01357892048912226,0.9725600564053285,0.9995775600854631
-87.92666666666668,0.0791973699257797,0.9452297581918834,0.9995789236898256
-91.42666666666668,0.010571750931140668,0.9347925356618513,0.99967856478779
-91.88666666666668,0.015219003758630252,0.8924059153624553,0.9996577446456553
-92.22666666666667,0.07826786891997028,0.8899526738615819,0.9996632896345732
-97.02666666666664,0.17791706651351294,0.9524090395462353,0.9996997055074974
-98.93333333333332,0.08198539179505808,0.93132143132738,0.9996883175373877
-102.43333333333331,0.023188629040509907,0.858865388366712,0.9997229245590395
-102.64,0.0914639557849789,0.9251582035379097,0.9997381494100277
-102.73999999999998,0.014771945007996496,0.9519729138646196,0.9997633688886631
-106.27999999999999,0.08725656973138206,0.9671744743901205,0.9997555908981569
-112.64000000000001,0.08327088317417168,0.9749582390915414,0.9998402239569582
-113.86666666666666,0.02756649906823317,0.9782017440946488,0.9998402402479134
-114.08,0.010033786190381111,0.8654032656524636,0.9997661413709006
-116.91333333333333,0.025752432120247613,0.8672694304906757,0.9998783410710209
-117.7,0.021342227114611343,0.9241092145331069,0.9998579526878537
-118.17333333333335,0.020339452362610668,0.9027439488335455,0.9998791563263841
-120.51333333333334,0.07960423639141198,0.9610256768478493,0.9998845109065707
