performance,alpha,gamma,epsilon_decay
94.18,0.03168204421341433,0.8735716399703838,0.9990872656077202
85.43333333333331,0.01888884263944166,0.8991143721979126,0.9991101974349677
80.32666666666667,0.03512545739365579,0.9464334373052634,0.9990148987876545
78.24,0.014960479007805252,0.9561684168368921,0.9991585460170275
78.03999999999999,0.023148651085903835,0.9136651001913132,0.9991738145619126
77.75333333333334,0.011328059216481097,0.8631530341084493,0.9991249983269838
74.08,0.14522266640036688,0.8901509109841433,0.9991766692988251
69.06666666666666,0.02620358159232338,0.9590483887555233,0.9990795236238176
61.82,0.03834291062786688,0.9798285926010786,0.9991771656603902
59.29333333333334,0.010764188387550697,0.9694711684271317,0.999097922540173
58.43333333333335,0.011243516383839138,0.8716155977607296,0.9991983646155443
47.44666666666667,0.042885031122291604,0.9342580327787161,0.9991337863939918
44.12,0.04759564526346265,0.8638551890232911,0.9991873625653588
35.07333333333334,0.12789339814055833,0.8845135538294504,0.9993496057368634
25.69333333333333,0.01266938835534895,0.8655082193013865,0.9992438362445795
19.74,0.13126602424185502,0.9180680227697968,0.999330441994372
19.53333333333334,0.05920174615193083,0.9197903918337043,0.9993606088448156
6.526666666666666,0.03931160223333395,0.973892662870936,0.9993328147337966
-1.3733333333333337,0.04170702145377514,0.9178228070560607,0.9993116202671479
-38.906666666666666,0.15298012759751112,0.8667278157074366,0.9995375921795626
-54.406666666666666,0.045298900989900616,0.9553291363506634,0.9995566339187979
-58.00666666666667,0.014356918813377459,0.8872893237654313,0.9994811460355929
-63.18666666666666,0.14281404323900018,0.9205478198210816,0.9995433222511461
-70.74,0.14201420456647806,0.9207740119951157,0.9995506978079745
-71.32,0.059107667249141634,0.9661293075480377,0.9994069564116821
-73.71333333333332,0.017424112691872783,0.9479790657889949,0.9993941387991092
-75.82666666666667,0.03813238562586988,0.8955971991742242,0.9993044531447249
-83.44666666666666,0.014928032018386892,0.8651791264210422,0.9994563165659152
-85.92,0.12195304540152269,0.9473347870803736,0.9994928443792458
-89.32666666666664,0.09943517680239933,0.8766258320912609,0.9996118499525832
-99.76000000000002,0.04583897368935085,0.857489128159332,0.9996698935143123
-100.28666666666666,0.016062633026801304,0.964160514058098,0.9996965687118021
-101.33333333333336,0.09823620828775012,0.9749892471918374,0.9997058123670632
-101.36,0.09376976800739525,0.9834811361872534,0.9996664543792735
-101.87333333333332,0.0167379727456987,0.9458101029591938,0.9996965280361498
-104.11333333333336,0.035523599997652186,0.8847372100786807,0.9997525221078574
-104.83333333333336,0.05931039470035363,0.953055108387361,0.999711543178145
-105.39333333333335,0.01383251362612049,0.9787424314536933,0.9997523156139042
-106.11333333333336,0.055443064625455084,0.8652741071035408,0.9997604521297417
-109.71333333333332,0.018647328721424664,0.9849332593353305,0.9997681630471574
-111.89333333333335,0.1405931053700913,0.8764335992218947,0.9997889211652438
-113.54,0.032744360302174896,0.8772687151740284,0.9998275004607508
-114.08666666666667,0.14268448684949553,0.856261748005734,0.9997707939715388
-114.60666666666665,0.056137227509898316,0.9563278216590403,0.9998570511527315
-114.97333333333334,0.06265240043285628,0.8821843720136396,0.9998825004756066
-115.63999999999999,0.024383589989246335,0.968221646368145,0.999821787966677
-116.59333333333332,0.1575146945162859,0.9338355763978562,0.9998359877983977
-117.75333333333332,0.13117375195587672,0.9612367205282277,0.9998889808159304
-119.15999999999998,0.021005377424853214,0.9516784658549641,0.9998635018152032
-119.46666666666668,0.1707315234094471,0.9830907995533427,0.9998309264558375
